PVTTABLE LABEL = "NONEQ TABSAT5", PHASE = TWO,\ 
COMPONENTS = ("CH4","C2H6","C3H8","iC4H10","nC4H10","iC5H12","nC5H12","nC6H14","nC7H16","nC8H18","nC9H20","nC10H22","nC11H24","nC12H26","nC14H30","N2","H2O","CO2","C15+"),\
PVTTABLE POINT = (51600000.0,109.0,559.2919314132785,559.2919314132785,5.01481637058645e-06,5.01481637058645e-06,-2.279282172655479,-2.279282172655479,1.0,0.0006218270471441351,0.0006218270471441351,3211.0931975635594,3211.0931975635594,-45928.84790320415,-45928.84790320415,0.09877640373271337,0.09877640373271337,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,112.0,554.0827057001356,554.0827057001356,5.05227578910855e-06,5.05227578910855e-06,-2.250152065483236,-2.250152065483236,1.0,0.0006133884238148417,0.0006133884238148417,3201.2652354414595,3201.2652354414595,-39803.012631869875,-39803.012631869875,0.09797904156228901,0.09797904156228901,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,115.0,548.936568835592,548.936568835592,5.087660354760937e-06,5.087660354760937e-06,-2.2207218683480283,-2.2207218683480283,1.0,0.0006052593105422522,0.0006052593105422522,3191.0614550383075,3191.0614550383075,-33680.45828518551,-33680.45828518551,0.09720741716811143,0.09720741716811143,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,118.0,543.8541594798794,543.8541594798794,5.12098432246203e-06,5.12098432246203e-06,-2.191043861997837,-2.191043861997837,1.0,0.0005974273726277985,0.0005974273726277985,3180.5151249580263,3180.5151249580263,-27561.493708716705,-27561.493708716705,0.09646110524781196,0.09646110524781196,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,121.0,538.8360074272748,538.8360074272748,5.15226718449807e-06,5.15226718449807e-06,-2.1611686587027332,-2.1611686587027332,1.0,0.0005898847955638046,0.0005898847955638046,3169.659107299328,3169.659107299328,-21446.400999317877,-21446.400999317877,0.09573966811566251,0.09573966811566251,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,124.0,533.8825364712511,533.8825364712511,5.181533295273564e-06,5.181533295273564e-06,-2.131145045148005,-2.131145045148005,1.0,0.0005826199757575304,0.0005826199757575304,3158.5256996861635,3158.5256996861635,-15335.434939309023,-15335.434939309023,0.09504265730860553,0.09504265730860553,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,127.0,528.9940682821751,528.9940682821751,5.208811483963062e-06,5.208811483963062e-06,-2.1010198498544246,-2.1010198498544246,1.0,0.000575621617449915,0.000575621617449915,3147.1464976684265,3147.1464976684265,-9228.82349121105,-9228.82349121105,0.09436961528344122,0.09436961528344122,0.0,100.0,100.0)
PVTTABLE POINT = (51600000.0,130.0,524.1708268890385,524.1708268890385,5.2341346601550065e-06,5.2341346601550065e-06,-2.0708378345809475,-2.0708378345809475,1.0,0.0005688798251584621,0.0005688798251584621,3135.552274315232,3135.552274315232,-3126.7687727762386,-3126.7687727762386,0.09372007711561751,0.09372007711561751,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,40.0,701.1331431923415,701.1331431923415,5.2341346601550065e-06,3.9703862170925874e-07,-2.0708378345809475,-0.29180956503704003,0.0,0.005070619554341776,0.0005070619554341775,3213.5163851902885,3213.517701231798,-186397.68192889728,-4680464.25469022,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (53800000.0,43.0,695.0687302282433,695.0687302282433,5.2341346601550065e-06,7.698747265709454e-07,-2.0708378345809475,-0.4901793201153396,0.0,0.005070978698269514,0.0005070978698269513,3219.2954897199534,3219.2967278854912,-180379.98016223032,-4674446.552923553,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (53800000.0,46.0,689.0212066438099,689.0212066438099,5.2341346601550065e-06,8.816826100057591e-07,-2.0708378345809475,-1.316238641344245,0.0,0.0050706390320680115,0.0005070639032068011,3224.3475716071894,3224.3488213297605,-174352.7189092636,-4668419.291670586,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (53800000.0,49.0,682.9931683661176,682.9931683661176,5.2341346601550065e-06,3.336094089625589e-07,-2.0708378345809475,-0.22762981682667027,0.0,0.00506967882719403,0.000506967882719403,3228.671846895327,3228.6669763251534,-168316.48700333573,-4662383.059764658,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (53800000.0,52.0,676.9871831123596,676.9871831123596,5.2341346601550065e-06,6.629247222459202e-07,-2.0708378345809475,-0.44343924685975994,0.0,0.0050682445596139,0.00050682445596139,3232.249958288048,3232.2466601078013,-162271.87965161726,-4656338.45241294,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (53800000.0,55.0,671.0057820896602,671.0057820896602,5.2341346601550065e-06,6.123679490157928e-07,-2.0708378345809475,-0.44577946356048154,0.0,0.005066850651177686,0.0005066850651177686,3235.071450110916,3235.0858519843932,-156219.49561117217,-4650286.068372495,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (53800000.0,58.0,665.0514533003084,665.0514533003084,5.2341346601550065e-06,4.474841052563482e-07,-2.0708378345809475,-0.31301478535352806,0.0,0.005066141438761564,0.0005066141438761564,3237.4158395105483,3237.1850722527706,-150159.93632568885,-4644226.509087011,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (53800000.0,61.0,659.1266335955944,659.1266335955944,5.2341346601550065e-06,4.866086758616567e-07,-2.0708378345809475,-0.34558240451975536,0.0,0.005062157791953386,0.0005062157791953385,3238.7938420700298,3238.547377792561,-144093.80294552725,-4638160.37570685,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (53800000.0,64.0,653.233701873289,653.233701873289,5.2341346601550065e-06,5.520137480737879e-07,-2.0708378345809475,-0.4000983795379381,0.0,0.005057589169765417,0.0005057589169765417,3239.1961391061677,3239.1783450089993,-138021.6947655091,-4632088.2675268315,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (53800000.0,67.0,647.3749717407031,647.3749717407031,5.2341346601550065e-06,6.467950564037869e-07,-2.0708378345809475,-0.47756192924727653,0.0,0.005052467212473537,0.0005052467212473536,3238.879655898568,3239.0860213041615,-131944.20635445137,-4626010.779115774,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (53800000.0,70.0,641.5526861354992,641.5526861354992,5.2341346601550065e-06,7.150418683247254e-07,-2.0708378345809475,-0.5270358546435184,0.0,0.00504682371645002,0.0005046823716450019,3238.283833334488,3238.280864566686,-125861.92678548861,-4619928.499546811,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (53800000.0,73.0,635.769010373817,635.769010373817,5.2341346601550065e-06,8.440465925835874e-07,-2.0708378345809475,-0.6368120160853475,0.0,0.005040693093930914,0.0005040693093930914,3236.7803408175305,3236.7756532307067,-119775.43645609356,-4613842.009217416,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (53800000.0,76.0,630.0260272445726,630.0260272445726,5.2341346601550065e-06,9.822850919804334e-07,-2.0708378345809475,-0.726882788922939,0.0,0.005034111105698644,0.0005034111105698644,3234.508080399476,3234.5853832274233,-113685.30591784883,-4607751.878679171,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (53800000.0,79.0,624.3257319094295,624.3257319094295,5.2341346601550065e-06,1.1347994732464675e-06,-2.0708378345809475,-0.8373011115754855,0.0,0.005027118680310694,0.0005027118680310693,3231.726185797917,3231.727146213939,-107592.09382975847,-4601658.666591081,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (53800000.0,82.0,618.6700274010469,618.6700274010469,5.2341346601550065e-06,1.462249862785637e-06,-2.0708378345809475,-1.0495458725516649,0.0,0.005019766440437759,0.0005019766440437759,3228.3892572947816,3228.2199882935547,-101496.34520406742,-4595562.91796539,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (53800000.0,85.0,613.0607211242279,613.0607211242279,5.2341346601550065e-06,2.0306632076453188e-06,-2.0708378345809475,-1.2258610130316534,0.0,0.005012120514946431,0.0005012120514946431,3224.0934810177073,3224.0847622897522,-95398.59020346217,-4589465.162964785,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (53800000.0,88.0,607.4995208939799,607.4995208939799,5.2341346601550065e-06,8.2981044007714e-07,-2.0708378345809475,-0.5432592433743338,0.0,0.00500428681117435,0.0005004286811174349,3219.313947120166,3219.343958882926,-89299.3418263821,-4583365.914587704,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (53800000.0,91.0,601.9880330117553,601.9880330117553,5.2341346601550065e-06,5.098104111042359e-07,-2.0708378345809475,-0.284045117166629,0.0,0.004996475118125074,0.0004996475118125074,3213.947820710131,3214.021539409631,-83199.0954911653,-4577265.668252488,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (53800000.0,94.0,596.5277596393414,596.5277596393414,4.546770181505221e-06,4.546770181505221e-06,-2.36999584669153,-2.36999584669153,1.0,0.0006904868330503584,0.0006904868330503584,3208.142753048842,3208.142753048842,-77098.32709707879,-77098.32709707879,0.10552289427381284,0.10552289427381284,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,97.0,591.1200975137593,591.1200975137593,4.592926650112756e-06,4.592926650112756e-06,-2.3451928655377388,-2.3451928655377388,1.0,0.0006800581654099985,0.0006800581654099985,3201.7339553526404,3201.7339553526404,-70997.49223070592,-70997.49223070592,0.10458784351499582,0.10458784351499582,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,100.0,585.7663372300012,585.7663372300012,4.637260578073992e-06,4.637260578073992e-06,-2.319829172578755,-2.319829172578755,1.0,0.0006700021199853295,0.0006700021199853295,3194.8224242804545,3194.8224242804545,-64897.02544743847,-64897.02544743847,0.10367949465629739,0.10367949465629739,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,103.0,580.4676625640793,580.4676625640793,4.679753312124411e-06,4.679753312124411e-06,-2.2939556397535217,-2.2939556397535217,1.0,0.0006603055451104238,0.0006603055451104238,3187.4361738021043,3187.4361738021043,-58797.33906888403,-58797.33906888403,0.10279754552561728,0.10279754552561728,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,106.0,575.2251507359509,575.2251507359509,4.720391924177851e-06,4.720391924177851e-06,-2.2676228192468115,-2.2676228192468115,1.0,0.0006509557397496056,0.0006509557397496056,3179.6037727544904,3179.6037727544904,-52698.82265588362,-52698.82265588362,0.10194167354420733,0.10194167354420733,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,109.0,570.0397731843705,570.0397731843705,4.759169047471147e-06,4.759169047471147e-06,-2.240880708556206,-2.240880708556206,1.0,0.0006419403785876547,0.0006419403785876547,3171.3541672575248,3171.3541672575248,-46601.84251382761,-46601.84251382761,0.10111153737520384,0.10111153737520384,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,112.0,564.9123968792708,564.9123968792708,4.796082678924147e-06,4.796082678924147e-06,-2.213778531918086,-2.213778531918086,1.0,0.0006332475511120697,0.0006332475511120697,3162.716511341286,3162.716511341286,-40506.74151493795,-40506.74151493795,0.10030677858762932,0.10030677858762932,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,115.0,559.8437858929188,559.8437858929188,4.831135951833647e-06,4.831135951833647e-06,-2.1863645394255387,-2.1863645394255387,1.0,0.0006248656261709163,0.0006248656261709163,3153.720002930334,3153.720002930334,-34413.83877113182,-34413.83877113182,0.09952702327104368,0.09952702327104368,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,118.0,554.8346030300519,554.8346030300519,4.864336883160721e-06,4.864336883160721e-06,-2.1586858248222143,-2.1586858248222143,1.0,0.0006167835162652102,0.0006167835162652102,3144.393727809776,3144.393727809776,-28323.428996504284,-28323.428996504284,0.0987718835586166,0.0987718835586166,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,121.0,549.8854130410556,549.8854130410556,4.895698099717304e-06,4.895698099717304e-06,-2.1307881626169425,-2.1307881626169425,1.0,0.0006089888203478599,0.0006089888203478599,3134.766520952709,3134.766520952709,-22235.783539499156,-22235.783539499156,0.09804095938342136,0.09804095938342136,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,124.0,544.9966847702966,544.9966847702966,4.9252365475258054e-06,4.9252365475258054e-06,-2.102715864842615,-2.102715864842615,1.0,0.0006014745850839406,0.0006014745850839406,3124.866829986051,3124.866829986051,-16151.149700932205,-16151.149700932205,0.0973338398967558,0.0973338398967558,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,127.0,540.1687942763493,540.1687942763493,4.952973188515385e-06,4.952973188515385e-06,-2.074511657483993,-2.074511657483993,1.0,0.000594229111318032,0.000594229111318032,3114.722595181852,3114.722595181852,-10069.751099629328,-10069.751099629328,0.0966501049907247,0.0966501049907247,0.0,100.0,100.0)
PVTTABLE POINT = (53800000.0,130.0,535.4020285345143,535.4020285345143,4.978932688547273e-06,4.978932688547273e-06,-2.0462165763279585,-2.0462165763279585,1.0,0.000587243380232103,0.000587243380232103,3104.3611429879656,3104.3611429879656,-3991.788505559787,-3991.788505559787,0.09598932683656583,0.09598932683656583,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,40.0,708.5584064532607,708.5584064532607,4.978932688547273e-06,3.8651152611874117e-07,-2.0462165763279585,-0.2871194640028919,0.0,0.0051078551814260804,0.0005107855181426081,3164.787727598019,3164.7889634483563,-186048.53726136964,-4680115.110022692,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (56000000.0,43.0,702.6417974328228,702.6417974328228,4.978932688547273e-06,7.4270584679521e-07,-2.0462165763279585,-0.4795484977947505,0.0,0.005109232195079825,0.0005109232195079825,3170.3846680329257,3170.384948889242,-180071.6939716488,-4674138.266732971,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (56000000.0,46.0,696.7408660572399,696.7408660572399,4.978932688547273e-06,8.62035246796136e-07,-2.0462165763279585,-1.2970526882413909,0.0,0.0051099163153488026,0.0005109916315348803,3175.319737946049,3175.320116526984,-174085.3425259469,-4668151.915287269,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (56000000.0,49.0,690.8580044791394,690.8580044791394,4.978932688547273e-06,3.238672668769508e-07,-2.0462165763279585,-0.22353065691586674,0.0,0.005109984975497422,0.0005109984975497422,3179.5949647028,3179.588593644631,-168090.01641780697,-4662156.589179129,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (56000000.0,52.0,684.9955790760887,684.9955790760887,4.978932688547273e-06,6.406948699473647e-07,-2.0462165763279585,-0.4341450041947216,0.0,0.005109585101051964,0.0005109585101051964,3183.189672776143,3183.1866237230956,-162086.25479569286,-4656152.827557015,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (56000000.0,55.0,679.1559232288963,679.1559232288963,4.978932688547273e-06,5.933856172239205e-07,-2.0462165763279585,-0.4371531850670884,0.0,0.005109235656370615,0.0005109235656370615,3186.093613670734,3186.112594975419,-156074.5999167543,-4650141.172678077,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (56000000.0,58.0,673.3413316444132,673.3413316444132,4.978932688547273e-06,4.340215839153766e-07,-2.0462165763279585,-0.30710066858417673,0.0,0.005109585535071213,0.0005109585535071213,3188.3466817842086,3188.367062211688,-150055.5965666445,-4644122.169327967,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (56000000.0,61.0,667.5540534410246,667.5540534410246,4.978932688547273e-06,4.718377205516752e-07,-2.0462165763279585,-0.3389440756199856,0.0,0.005106627861792116,0.0005106627861792115,3189.941872421446,3189.9527401827336,-144029.78936725017,-4638096.362128573,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (56000000.0,64.0,661.7962863104059,661.7962863104059,4.978932688547273e-06,5.349752809324046e-07,-2.0462165763279585,-0.39222193511070197,0.0,0.005103083065441286,0.0005103083065441285,3191.0899806075904,3190.8744885890637,-137997.72150399815,-4632064.2942653205,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (56000000.0,67.0,656.0701701170194,656.0701701170194,4.978932688547273e-06,6.262392597732603e-07,-2.0462165763279585,-0.467826255627435,0.0,0.005098981488608548,0.0005098981488608548,3191.1317267192344,3191.1392704642335,-131959.93214121833,-4626026.504902541,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (56000000.0,70.0,650.3777823473794,650.3777823473794,4.978932688547273e-06,6.916647794904382e-07,-2.0462165763279585,-0.5159401147190302,0.0,0.005094354222776416,0.0005094354222776416,3190.7609251439517,3190.756102676037,-125916.95593106933,-4619983.528692392,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (56000000.0,73.0,644.7211319711241,644.7211319711241,4.978932688547273e-06,8.154722019757829e-07,-2.0462165763279585,-0.6229214546485423,0.0,0.005089233940082528,0.0005089233940082527,3189.821676903375,3189.735981548947,-119869.32010628935,-4613935.892867612,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (56000000.0,76.0,639.1021552239132,639.1021552239132,4.978932688547273e-06,9.47221133083588e-07,-2.0462165763279585,-0.7102287258664419,0.0,0.005083655744106146,0.0005083655744106145,3188.0898436806783,3188.0917990699736,-113817.5435687434,-4607884.116330066,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
