COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (34000000.0,115.0,434.3692404029699,434.3692404029699,8.385162369468352e-06,8.385162369468352e-06,-2.4409754701341564,-2.4409754701341564,1.0,0.00043801413427606496,0.00043801413427606496,3569.397077245875,3569.397077245875,-18577.68016523309,-18577.68016523309,0.07577562363282302,0.07577562363282302,0.0,100.0,100.0)
PVTTABLE POINT = (34000000.0,118.0,428.8177155715019,428.8177155715019,8.392448576693804e-06,8.392448576693804e-06,-2.384538972690617,-2.384538972690617,1.0,0.000432772942836192,0.000432772942836192,3538.2895564501146,3538.2895564501146,-12194.304531625472,-12194.304531625472,0.07517802743369917,0.07517802743369917,0.0,100.0,100.0)
PVTTABLE POINT = (34000000.0,121.0,423.3875692265119,423.3875692265119,8.394977868449022e-06,8.394977868449022e-06,-2.328814105957948,-2.328814105957948,1.0,0.00042779220580142964,0.00042779220580142964,3507.2085340538847,3507.2085340538847,-5832.333541040309,-5832.333541040309,0.07461104382753686,0.07461104382753686,0.0,100.0,100.0)
PVTTABLE POINT = (34000000.0,124.0,418.0773255984568,418.0773255984568,8.393028746384048e-06,8.393028746384048e-06,-2.2738905615192184,-2.2738905615192184,1.0,0.0004230592823142006,0.0004230592823142006,3476.245375558879,3476.245375558879,508.2275582952425,508.2275582952425,0.07407364855576641,0.07407364855576641,0.0,100.0,100.0)
PVTTABLE POINT = (34000000.0,127.0,412.88532201941734,412.88532201941734,8.38687891990206e-06,8.38687891990206e-06,-2.2198462012929143,-2.2198462012929143,1.0,0.00041856208628236145,0.00041856208628236145,3445.4826721563454,3445.4826721563454,6827.447745298035,6827.447745298035,0.07356482876953317,0.07356482876953317,0.0,100.0,100.0)
PVTTABLE POINT = (34000000.0,130.0,407.80973375459564,407.80973375459564,8.376803003516616e-06,8.376803003516616e-06,-2.1667476625975812,-2.1667476625975812,1.0,0.0004142890211991056,0.0004142890211991056,3414.9944504760238,3414.9944504760238,13125.463507588953,13125.463507588953,0.07308358653537787,0.07308358653537787,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,40.0,635.5853402717015,635.5853402717015,8.376803003516616e-06,4.857941926110486e-07,-2.1667476625975812,-0.3298980874301334,0.0,0.0047366409063114975,0.0004736640906311497,3731.4516199676927,3731.448953277315,-185240.83811992407,-4679307.410881246,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (38400000.0,43.0,628.1074619645042,628.1074619645042,8.376803003516616e-06,1.0195299228229627e-06,-2.1667476625975812,-0.5828337005204297,0.0,0.004727139736463493,0.0004727139736463492,3739.0956391100435,3739.09395121121,-178804.60542262346,-4672871.178183946,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (38400000.0,46.0,620.6627553014646,620.6627553014646,8.376803003516616e-06,1.0465425928875855e-06,-2.1667476625975812,-1.4729193366261693,0.0,0.004716893203250298,0.00047168932032502976,3745.01310151986,3745.0125325807176,-172358.5887659695,-4666425.161527292,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (38400000.0,49.0,613.256594067125,613.256594067125,8.376803003516616e-06,4.1766903996467694e-07,-2.1667476625975812,-0.2615943059941908,0.0,0.0047059905269592785,0.0004705990526959278,3749.1792846889357,3749.1770834760655,-165904.17229938693,-4659970.745060709,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (38400000.0,52.0,605.8942782395565,605.8942782395565,8.376803003516616e-06,8.639203080823057e-07,-2.1667476625975812,-0.5235451958967475,0.0,0.004694581444277726,0.0004694581444277726,3751.5715247939515,3751.570395157926,-159442.75839251932,-4653509.331153842,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (38400000.0,55.0,598.581004282009,598.581004282009,8.376803003516616e-06,7.807735614092416e-07,-2.1667476625975812,-0.5190562784978684,0.0,0.004683144588780438,0.0004683144588780438,3752.1820076168465,3752.186024308107,-152975.7589752376,-4647042.33173656,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (38400000.0,58.0,591.321837906136,591.321837906136,8.376803003516616e-06,5.650757710174926e-07,-2.1667476625975812,-0.36260654449211016,0.0,0.004672291568131832,0.0004672291568131832,3751.0128762739687,3751.0284996104792,-146504.5886818692,-4640571.161443192,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (38400000.0,61.0,584.1216859998221,584.1216859998221,8.376803003516616e-06,6.161388659782952e-07,-2.1667476625975812,-0.40146631734801136,0.0,0.004658490126362765,0.0004658490126362765,3748.084059705689,3748.113336857984,-140030.6557782879,-4634097.22853961,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (38400000.0,64.0,576.985271120332,576.985271120332,8.376803003516616e-06,7.024842769949827e-07,-2.1667476625975812,-0.4668372595332773,0.0,0.004644162775722485,0.00046441627757224844,3743.6776435155493,3743.4668876194733,-133555.35452413466,-4627621.927285457,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (38400000.0,67.0,569.9171067353534,569.9171067353534,8.376803003516616e-06,8.304709128962032e-07,-2.1667476625975812,-0.5608915412700223,0.0,0.004629356996238072,0.0004629356996238072,3737.1662225163227,3737.1259987641192,-127080.056357814,-4621146.629119136,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (38400000.0,70.0,562.9214766282181,562.9214766282181,8.376803003516616e-06,9.26018688737828e-07,-2.1667476625975812,-0.6227955267354801,0.0,0.00461411995144635,0.000461411995144635,3729.1426088356206,3729.1375182515753,-120606.10343082994,-4614672.676192152,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (38400000.0,73.0,556.0024142656094,556.0024142656094,8.376803003516616e-06,1.1060317275668237e-06,-2.1667476625975812,-0.7582309940241834,0.0,0.004598499789692878,0.00045984997896928776,3719.4736002593636,3719.5576333646636,-114134.80001775641,-4608201.372779079,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (38400000.0,76.0,549.1636868597121,549.1636868597121,8.376803003516616e-06,1.310395992483016e-06,-2.1667476625975812,-0.8747314450890378,0.0,0.004582546766907069,0.0004582546766907069,3708.445368784795,3708.451082601317,-107667.40637692902,-4601733.979138251,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (38400000.0,79.0,542.4087814302443,542.4087814302443,8.376803003516616e-06,1.5389591489251155e-06,-2.1667476625975812,-1.0165651447280946,0.0,0.004566314308765693,0.0004566314308765693,3695.8875937445987,3695.89025200344,-101205.1322146887,-4595271.704976011,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (38400000.0,82.0,535.7408939694872,535.7408939694872,8.376803003516616e-06,2.063336212491003e-06,-2.1667476625975812,-1.2971614503977782,0.0,0.004549863083861935,0.00045498630838619353,3681.885617465254,3681.954176403932,-94749.13099133782,-4588815.70375266,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (38400000.0,85.0,529.1629221588935,529.1629221588935,8.376803003516616e-06,3.0590295352944968e-06,-2.1667476625975812,-1.5337430072841445,0.0,0.00453326853027439,0.00045332685302743904,3666.810426434744,3666.7274882580405,-88300.49537533708,-4582367.068136659,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (38400000.0,88.0,522.6774598689417,522.6774598689417,8.376803003516616e-06,1.0281665275566342e-06,-2.1667476625975812,-0.6199310548464382,0.0,0.004516639890520664,0.0004516639890520664,3650.3634876076403,3650.2993147155353,-81860.25221747905,-4575926.824978801,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (38400000.0,91.0,516.2867963513847,516.2867963513847,8.376803003516616e-06,6.622081900503564e-07,-2.1667476625975812,-0.333877614146178,0.0,0.004500180359817348,0.00045001803598173484,3632.7920302391117,3632.7621808906606,-75429.36006916873,-4569495.932830491,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (38400000.0,94.0,509.9929166790766,509.9929166790766,7.004679182436458e-06,7.004679182436458e-06,-2.739692109784748,-2.739692109784748,1.0,0.0005323220628662553,0.0005323220628662553,3614.2109128930774,3614.2109128930774,-69008.7058338467,-69008.7058338467,0.08713857434543154,0.08713857434543154,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,97.0,503.79750572580883,503.79750572580883,7.058137294309821e-06,7.058137294309821e-06,-2.693317315074066,-2.693317315074066,1.0,0.0005240364163048691,0.0005240364163048691,3594.741585487483,3594.741585487483,-62599.103190075606,-62599.103190075606,0.08625842799236315,0.08625842799236315,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,100.0,497.7019545261924,497.7019545261924,7.106867684747928e-06,7.106867684747928e-06,-2.6464178599619466,-2.6464178599619466,1.0,0.0005161196491016389,0.0005161196491016389,3574.450524393747,3574.450524393747,-56201.29169831425,-56201.29169831425,0.08541293722170265,0.08541293722170265,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,103.0,491.707368191667,491.707368191667,7.1509387927944454e-06,7.1509387927944454e-06,-2.5991258000774957,-2.5991258000774957,1.0,0.0005085562841768073,0.0005085562841768073,3553.4333751913205,3553.4333751913205,-49815.93600538373,-49815.93600538373,0.08460139379559918,0.08460139379559918,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,106.0,485.81457618483745,485.81457618483745,7.190437818785651e-06,7.190437818785651e-06,-2.5515676103489358,-2.5515676103489358,1.0,0.0005013313772898295,0.0005013313772898295,3531.7842602576866,3531.7842602576866,-43443.62623971328,-43443.62623971328,0.08382306058824529,0.08382306058824529,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,109.0,480.0241441977679,480.0241441977679,7.225468723414909e-06,7.225468723414909e-06,-2.5038635244497693,-2.5038635244497693,1.0,0.0004944304874083893,0.0004944304874083893,3509.5950274971797,3509.5950274971797,-37084.87892437354,-37084.87892437354,0.08307717640422793,0.08307717640422793,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,112.0,474.33638741098883,474.33638741098883,7.25615018048281e-06,7.25615018048281e-06,-2.4561270105297694,-2.4561270105297694,1.0,0.0004878395862955027,0.0004878395862955027,3486.9545996204,3486.9545996204,-30740.138605149463,-30740.138605149463,0.08236296063508244,0.08236296063508244,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,115.0,468.7513845768986,468.7513845768986,7.282613524857803e-06,7.282613524857803e-06,-2.408464378789644,-2.408464378789644,1.0,0.0004815452818613637,0.0004815452818613637,3463.948420282153,3463.948420282153,-24409.7796940431,-24409.7796940431,0.08167961766511862,0.08167961766511862,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,118.0,463.26899249014986,463.26899249014986,7.3050007324405995e-06,7.3050007324405995e-06,-2.3609745138201887,-2.3609745138201887,1.0,0.0004755344961108468,0.0004755344961108468,3440.657997762197,3440.657997762197,-18094.108311917633,-18094.108311917633,0.08102634096873426,0.08102634096873426,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,121.0,457.88886232378127,457.88886232378127,7.323462463695693e-06,7.323462463695693e-06,-2.313748722561442,-2.313748722561442,1.0,0.000469794859020828,0.000469794859020828,3417.160557283266,3417.160557283266,-11793.365978749469,-11793.365978749469,0.08040231718164104,0.08040231718164104,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,124.0,452.610454687754,452.610454687754,7.338156196856908e-06,7.338156196856908e-06,-2.2668706872364686,-2.2668706872364686,1.0,0.00046431426821488516,0.00046431426821488516,3393.528770642954,3393.528770642954,-5507.731828336604,-5507.731828336604,0.07980672960980234,0.07980672960980234,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,127.0,447.43305552320027,447.43305552320027,7.349244471470955e-06,7.349244471470955e-06,-2.220416511645269,-2.220416511645269,1.0,0.000459081284726423,0.000459081284726423,3369.830578695475,3369.830578695475,762.6740485066548,762.6740485066548,0.07923876158237919,0.07923876158237919,0.0,100.0,100.0)
PVTTABLE POINT = (38400000.0,130.0,442.3557922274811,442.3557922274811,7.356893257711244e-06,7.356893257711244e-06,-2.1744548487158792,-2.1744548487158792,1.0,0.0004540848144417281,0.0004540848144417281,3346.1290942005717,3346.1290942005717,7017.786742671393,7017.786742671393,0.07869759956317314,0.07869759956317314,0.0,100.0,100.0)
PVTTABLE POINT = (42800000.0,40.0,657.3214672313766,657.3214672313766,7.356893257711244e-06,4.573751624473396e-07,-2.1744548487158792,-0.3179624269102028,0.0,0.004848456816436601,0.00048484568164366005,3540.3682341974973,3540.3672236263064,-186390.18856661487,-4680456.761327937,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (42800000.0,43.0,650.3347233053997,650.3347233053997,7.356893257711244e-06,9.353266642847167e-07,-2.1744548487158792,-0.5524898739502423,0.0,0.004842409343743852,0.0004842409343743852,3547.370608733651,3547.3706879015226,-180105.10818606708,-4674171.680947389,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (42800000.0,46.0,643.374377884364,643.374377884364,7.356893257711244e-06,9.938525469226814e-07,-2.1744548487158792,-1.4236222298277545,0.0,0.004835630388132616,0.00048356303881326153,3553.0847543755453,3553.0856032519923,-173810.23374578264,-4667876.806507105,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (42800000.0,49.0,636.4446461039723,636.4446461039723,7.356893257711244e-06,3.903756586210058e-07,-2.1744548487158792,-0.25081795370663945,0.0,0.004828203748798245,0.0004828203748798245,3557.4941644741875,3557.4938261901775,-167506.60892603826,-4661573.181687361,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (42800000.0,52.0,629.5496915638738,629.5496915638738,7.356893257711244e-06,7.967788514974335e-07,-2.1744548487158792,-0.4974942069114619,0.0,0.004820276826835584,0.00048202768268355834,3560.585383931713,3560.5835825116365,-161195.29045369662,-4655261.863215019,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (42800000.0,55.0,622.693607039992,622.693607039992,7.356893257711244e-06,7.251447545430852e-07,-2.1744548487158792,-0.49543692500395453,0.0,0.004812338780931799,0.00048123387809317984,3562.348482838172,3562.349656051128,-154877.34234968387,-4648943.915111006,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (42800000.0,58.0,615.8803972719096,615.8803972719096,7.356893257711244e-06,5.266052911865123e-07,-2.1744548487158792,-0.34675363157310995,0.0,0.0048050106717809,0.00048050106717808995,3562.7787283308644,3562.7935070862222,-148553.83206338622,-4642620.404824709,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (42800000.0,61.0,609.1139605936722,609.1139605936722,7.356893257711244e-06,5.7365936619756e-07,-2.1744548487158792,-0.38355802075134954,0.0,0.004794616846613906,0.0004794616846613906,3561.897768383883,3561.923290060155,-142225.82443508692,-4636292.397196409,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (42800000.0,64.0,602.39807239005,602.39807239005,7.356893257711244e-06,6.529230817731047e-07,-2.1744548487158792,-0.44536311030961223,0.0,0.00478366727805016,0.000478366727805016,3559.7665226276717,3559.753794167895,-135894.3770714933,-4629960.949832816,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (42800000.0,67.0,595.7363685391971,595.7363685391971,7.356893257711244e-06,7.69536500627496e-07,-2.1744548487158792,-0.533908382984587,0.0,0.004772202433046619,0.00047722024330466183,3556.43072105291,3556.3062845762624,-129560.53446200956,-4623627.107223332,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (42800000.0,70.0,589.1323318890749,589.1323318890749,7.356893257711244e-06,8.5560355997369e-07,-2.1744548487158792,-0.5916268192580018,0.0,0.00476026347796383,0.00047602634779638295,3551.629858660925,3551.608270996384,-123225.32429741509,-4617291.897058737,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (42800000.0,73.0,582.5892777422749,582.5892777422749,7.356893257711244e-06,1.0177448155559237e-06,-2.1744548487158792,-0.7183902747019717,0.0,0.004747892929406781,0.0004747892929406781,3545.7574972736816,3545.693185169656,-116889.75148712657,-4610956.324248449,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (42800000.0,76.0,576.110342677974,576.110342677974,7.356893257711244e-06,1.1984587637637174e-06,-2.1744548487158792,-0.8257442706876277,0.0,0.004735135192004015,0.0004735135192004015,3538.2903914912254,3538.5999940538136,-110554.79437673185,-4604621.367138054,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (42800000.0,79.0,569.6984741467536,569.6984741467536,7.356893257711244e-06,1.3993969364009272e-06,-2.1744548487158792,-0.9566141422818624,0.0,0.004722038730875851,0.000472203873087585,3530.25604254303,3530.3727481763144,-104221.400291536,-4598287.973052858,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (42800000.0,82.0,563.3564218448865,563.3564218448865,7.356893257711244e-06,1.8498703871237332e-06,-2.1744548487158792,-1.2127135211808762,0.0,0.004708659862545647,0.0004708659862545647,3521.032994162076,3521.0600717742464,-97890.48161298689,-4591957.054374309,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
